"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"344","01610",23964,46,11,8,33,14040,759,25.6
"345","01611",2481,78,3,2,15,33179,787,39.3
"346","01612",4856,85,4,1,10,35979,2001,41.3
"347","01701",31435,79,6,6,7,39361,1109,43.6
"348","01702",38020,56,8,8,20,29023,979,33.5
"349","01718",343,64,21,15,0,62059,NA,38.9
"350","01719",5048,81,0,17,1,61461,842,43.7
"351","01720",21804,75,1,19,2,53152,1119,41.9
"352","01721",16792,87,3,6,3,45834,1011,44
"353","01730",13649,81,2,12,4,48886,1445,43.9
"354","01731",1717,72,3,3,17,22388,2001,17.7
"355","01740",4967,91,0,3,3,55369,961,43.1
"356","01741",4918,88,0,6,2,77585,2001,48.2
"357","01742",18586,86,3,5,4,68920,1661,45.9
"358","01745",305,77,0,23,0,40472,NA,50.2
"359","01746",13811,94,1,2,2,46206,861,42.4
"360","01747",5928,95,0,2,4,38747,813,41.5
"361","01748",15271,92,0,5,2,56899,1165,39.5
"362","01749",19263,89,1,2,3,35713,968,42.8
"363","01752",38842,75,2,5,11,35335,977,39.5
"364","01754",10211,86,3,4,5,39447,850,41.7
"365","01756",5851,94,1,1,4,41740,730,43
"366","01757",28252,82,2,2,10,32180,966,38.2
"367","01760",33353,86,2,8,3,50239,1154,41.6
"368","01770",4169,92,0,6,1,73420,1522,45.5
"369","01772",9502,82,2,13,2,63375,1209,42.1
"370","01773",4836,84,3,8,3,75535,1606,48.5
"371","01775",6737,90,0,3,3,47880,1361,42.2
"372","01776",17922,89,0,6,2,72744,526,42.9
"373","01778",13280,84,1,12,2,68811,553,46.7
"374","01801",38961,84,4,6,4,35354,1152,39.7
"375","01803",24700,78,3,16,1,41119,1514,41.8
"376","01810",33746,82,1,11,4,52275,1098,42.7
"377","01821",30591,91,1,5,2,35975,1139,40.4
"378","01824",24673,87,1,8,3,44267,1022,43.4
"379","01826",29968,88,3,4,5,32690,1047,40.3
"380","01827",3255,94,0,2,0,48133,575,44.2
"381","01830",25687,76,2,0,18,29567,866,39
"382","01832",22121,74,2,1,21,29014,821,38.5
"383","01833",8295,96,0,0,1,43297,1117,42.4
"384","01834",6675,96,0,3,1,40222,863,46.1
"385","01835",13527,86,2,3,8,31429,972,37.1
"386","01840",4547,12,1,1,83,14758,619,36.8
"387","01841",47676,15,2,2,81,15117,831,29.6
"388","01843",24597,28,4,7,60,21024,868,32.6
"389","01844",47690,75,2,4,17,30520,886,39.9
"390","01845",28677,86,1,6,5,46788,1167,41
"391","01850",15496,64,6,6,20,22503,863,32
"392","01851",29791,39,9,37,12,22714,912,33.5
"393","01852",33106,58,6,12,19,26878,877,35.6
"394","01854",29073,52,5,18,21,19646,838,29.6
"395","01860",6440,99,0,0,1,36605,908,43.5
"396","01862",10992,83,3,4,7,30074,1117,39
"397","01863",9526,83,1,8,7,37573,1013,40.5
"398","01864",15076,92,1,4,2,45031,1296,42.4
"399","01867",24524,91,1,4,3,47036,1104,41.8
"400","01876",28778,92,2,3,2,39980,1264,43.4
"401","01879",11675,91,1,5,3,40920,938,42.1
"402","01880",25116,93,0,4,2,40379,1042,42.1
"403","01886",22458,81,1,13,2,49341,1302,42.4
"404","01887",22656,91,1,4,2,37424,1390,41.7
"405","01890",21621,83,1,12,2,64385,1307,42.5
"406","01901",2023,40,20,2,33,20625,535,42.8
"407","01902",44827,37,12,8,39,20391,839,32
"408","01904",18803,76,7,3,12,33409,1035,40.6
"409","01905",25090,39,13,7,37,19934,896,32.4
"410","01906",27051,89,1,2,6,34350,979,44.9
"411","01907",14086,92,1,2,4,48336,1158,44
"412","01908",3432,93,2,1,4,45464,1089,49.7
"413","01913",16429,96,0,1,1,38659,894,41.3
"414","01915",40026,91,2,2,3,37554,969,39.8
"415","01921",8040,94,0,3,1,58734,646,45.6
"416","01922",3025,98,1,1,0,40983,815,44.4
"417","01923",26810,93,1,2,3,38281,1188,43
"418","01929",3546,96,0,1,1,42259,1099,45.4
"419","01930",29043,95,1,1,3,35928,856,47.1
"420","01937",89,82,0,0,18,29602,NA,72.1
"421","01938",13354,97,0,1,1,43021,943,48.1
"422","01940",12299,92,1,4,3,46227,1194,44.4
"423","01944",5185,97,0,0,2,70075,1105,48.3
"424","01945",19958,95,1,1,2,58082,1099,44.7
"425","01949",9131,82,3,5,9,39115,1333,41.1
"426","01950",17569,94,1,1,4,46124,973,46.3
"427","01951",3707,97,1,0,1,42632,985,49.2
"428","01952",8396,96,0,2,1,35656,877,46.2
"429","01960",51319,86,2,3,8,34255,1118,44.3
"430","01966",7040,96,2,1,1,41762,858,52.1
"431","01969",5914,98,0,0,1,38324,1176,45.1
"432","01970",41747,75,5,2,16,31407,945,36.9
"433","01982",7995,90,3,3,2,44500,1027,40
"434","01983",6211,94,0,4,0,56488,856,45.4
"435","01984",4964,94,2,2,1,46255,848,24.9
"436","01985",4305,96,0,0,4,53144,1056,43
"437","02019",16438,91,2,4,2,36165,1076,40.8
"438","02021",21781,85,6,4,3,46086,1197,42.8
"439","02025",7935,98,0,0,1,61267,1100,42
"440","02026",24906,83,5,3,7,43063,1306,43
"441","02030",5677,87,1,7,2,89476,1119,44.3
"442","02032",3884,88,0,10,3,39531,1093,42.9
"443","02035",16990,92,2,4,2,42801,1172,41.2
"444","02038",32064,92,1,4,2,41946,1011,37.8
"445","02043",22330,96,0,2,1,60770,1751,43.8
"446","02045",10319,92,1,1,3,41064,1273,49
"447","02047",111,100,0,0,0,14649,NA,89.3
"448","02048",23293,89,2,4,3,42207,981,37.4
"449","02050",25647,95,0,1,2,43165,1147,43.5
"450","02052",12136,89,0,3,6,62076,904,43.4
"451","02053",12866,90,0,4,4,43335,731,42.1
"452","02054",7950,93,0,3,3,39651,1064,41.5
"453","02056",11274,87,6,1,5,43630,849,42.5
"454","02061",10560,97,0,1,1,48205,1242,44.3
"455","02062",28698,82,4,6,6,37213,1081,41.2
"456","02066",17730,96,0,1,1,49657,854,45.4
"457","02067",17591,75,5,15,3,53259,1487,43.2
"458","02071",1770,77,7,0,14,25115,NA,40.3
"459","02072",27522,81,12,2,2,33094,1054,43.1
"460","02081",19006,93,2,2,1,44982,1058,42.9
"461","02090",14714,90,0,6,2,62949,1200,45
"462","02093",11058,98,0,0,1,45019,860,44.2
"463","02108",4062,85,5,5,2,83723,1757,34.6
"464","02109",4241,87,2,4,6,90256,1948,33.9
"465","02110",1752,85,2,4,6,136352,2001,50.9
"466","02111",7771,41,3,44,7,51511,1243,34.3
"467","02113",6843,91,1,5,2,54464,1451,28.6
"468","02114",11994,77,5,13,3,67701,1835,31.2
"469","02115",28928,65,8,15,9,22112,1321,21.8
"470","02116",21793,72,7,14,6,80314,1489,33
"471","02118",27873,46,16,16,19,45343,986,33.6
"472","02119",24767,8,56,2,28,19183,741,33.3
"473","02120",14221,43,21,12,21,17704,1048,23.4
"474","02121",27093,3,65,1,26,17224,641,30.2
"475","02122",24546,32,31,16,13,23904,1070,32.9
"476","02124",51382,17,57,8,14,22891,1021,34.6
"477","02125",34172,31,24,14,19,23350,1047,30.2
"478","02126",27984,5,79,0,14,20804,1025,37.7
"479","02127",33825,78,6,5,9,44737,1048,30.8
"480","02128",43575,33,3,4,57,23468,965,34
"481","02129",17454,72,9,8,8,57847,1008,34.6
"482","02130",37541,58,12,6,21,44110,1272,33.6
"483","02131",30960,46,21,4,26,30984,1077,38
"484","02132",27628,79,3,6,9,44546,1214,42.9
"485","02134",19009,62,6,13,16,24946,1361,26.8
"486","02135",36932,70,4,15,10,31475,1390,29.2
"487","02136",29271,29,40,2,26,27408,918,36.2
"488","02138",35554,70,6,13,7,52592,1650,29
"489","02139",36015,60,13,14,8,42235,1533,30.3
